date,etf,shares,cash_impact_usd,cash_impact_eur
2024-08-15,VWRA,52,-6873.20,0
2024-09-11,VWRA,25,-3291.50,0
2025-01-08,VWRA,23,-3190.42,0
2025-02-11,VWCE,85,0,-11820.91
2025-02-12,VWCE,30,0,-4149.00
2025-02-20,VWCE,45,0,-6250.02
2025-02-24,VWCE,40,0,-5499.00
2025-02-24,VWRA,35,-5015.30,0
2025-02-27,VWRA,30,-4282.00,0
2025-03-03,VWCE,40,0,-5460.60
2025-03-04,VWCE,30,0,-3954.00
2025-11-27,VAGF,230,0,-5497.70
2025-12-04,VAGF,220,0,-5239.00
2026-05-21,VAGF,63.8297,0,-1503.00
2026-05-22,VWCE,20,0,-3221.00
2026-05-25,VAGF,64.17,0,-1521.26
2026-05-25,VWCE,22,0,-3579.76
2026-06-02,VAGF,150,0,-3565.93
2026-06-02,VWCE,9,0,-1477.33
2026-06-03,VWRA,45,-8566.96,0
2026-06-05,VWRA,45,-8500.33,0
2026-07-06,VWRA,45,-8539.04,0
2026-07-07,VWCE,9,0,-1486.33534
2026-07-08,VAGF,150,0,-3547.94
2026-07-17,VWRA,45,-8403.97985,0
