Είδος,Συγγραφέας,Τίτλος,Διαβάστηκε,Εποχή
Αστυνομικό,"Λουκαρέλι, Κάρλο",Εν Λευκώ,2011,Καλοκαίρι
Αστυνομικό,"Λουκαρέλι, Κάρλο",Ένα Μουντό Καλοκαίρι,2011,Καλοκαίρι
Αστυνομικό,"Λουκαρέλι, Κάρλο",Το Μπουρδέλο της Οδού Όκε,2011,Καλοκαίρι
Αστυνομικό,"Μάρκαρης, Πέτρος",Ληξιπρόθεσμα Δάνεια,2011,Καλοκαίρι
Αστυνομικό,"Μονταλμπάν, Μανουέλ Βασκέζaa",Η Βαρκελώνη του Μανόλο,2012,Καλοκαίρι
Αστυνομικό,"Μάρκαρης, Πέτροςaa",Περαίωση,2012,Καλοκαίρι
Αστυνομικό,"Kerr, Philip",Η Τριλογία του Βερολίνου,2012,Καλοκαίρι
Αστυνομικό,"Black, Benjamin",Ο Λεμούριος,2013,Άνοιξη
Αστυνομικό,"Καμιλλέρι, Αντρέα",Το Σχήμα του Νερού,2013,Καλοκαίρι
Αστυνομικό,"Καμιλλέρι, Αντρέα",Σκύλος από Τερακότα,2013,Καλοκαίρι
Αστυνομικό,"Καμιλλέρι, Αντρέα",Ο Κλέφτης της Μεσημβρίας,2013,Καλοκαίρι
Αστυνομικό,"Παπαδημητρίου, Χίλντα",Για μια Χούφτα Βινύλια,2013,Καλοκαίρι
Αστυνομικό,"Fossum, Karin",Βουβή Κραυγή,2013,Καλοκαίρι
Αστυνομικό,"Miske, Karim",Arab Jazz,2013,Καλοκαίρι
Αστυνομικό,"Μάνκελ, Χένινγκ",Εκτελεστές Δίχως Πρόσωπο,2013,Καλοκαίρι
Αστυνομικό,"Μάνκελ, Χένινγκ",Τα Σκυλιά της Ρίγα,2013,Καλοκαίρι
Αστυνομικό,"Lackberg, Camilla",Ο Ιεροκήρυκας,2013,Καλοκαίρι
Αστυνομικό,"Lackberg, Camilla",Η Παγωμένη Πριγκίπισα,2013,Καλοκαίρι
Αστυνομικό,"Μάρκαρης, Πέτρος",Ψωμί Παιδεία Ελευθερία,2013,Καλοκαίρι
Αστυνομικό,"Ρένδελ, Ρουθ",Ροτβάϊλερ,2013,Φθινόπωρο
Αστυνομικό,"Καμιλλέρι, Αντρέα",Η Φωνή του Βιολιού,2014,Χειμώνας
Αστυνομικό,Ονορέ ντε Μπαλζάκ,"Μάρκαρης, Πέτροςaa",2014,Χειμώνας
Αστυνομικό,"Μάρκαρης, Πέτρος",Τίτλοι Τέλους,2014,Καλοκαίρι
Αστυνομικό,"Kerr, Philip",Μοιραία Πράγα,2014,Καλοκαίρι
Ψυχολογία,"Γιωσαφάτ, Ματθαίος",Μεγαλώνοντας στην Ελληνική Οικογένεια,2014,Καλοκαίρι
Αστυνομικό,"Ambler, Eric",Η Μάσκα του Δημήτριου,2014,Καλοκαίρι
Αστυνομικό,Έντγκαρ Άλαν Πόε,Τρια Αστυνομικά Προβλήματα για τον Αυγούστο Ντυπέν,2014,Καλοκαίρι
Αστυνομικό,"Kerr, Philip",Ο Άνθρωπος χωρίς Ανάσα,2014,Φθινόπωρο
Μυθιστόρημα,"Auster, Paul",Αόρατος,2014,Φθινόπωρο
Αστυνομικό,"Φέρστ, Άλαν",Οι Κατάσκοποι των βαλκανίων,2014,Φθινόπωρο
Μυθιστόρημα,"Χωμενίδης, Χρήστος",Νίκη,2014,Φθινόπωρο
Μυθιστόρημα,"Modiano, Patrick",Το καφέ της Χαμένης Νιότης,2015,Καλοκαίρι
Αστυνομικό,Σιμενόν,Η Στριπτιζέζ,2015,Καλοκαίρι
Μυθιστόρημα,"Παδούρα, Λεονάρδο",Ο Άνθρωπος που Αγαπούσε τα Σκυλιά,2015,Καλοκαίρι
Αστυνομικό,"Glauser, Friedrich",Στα Δίχτυα του Ματτό,2015,Φθινόπωρο
Ιστορικό,"Moczarski, Kazimierz",Συνομιλίες με ένα Δήμιο,2015,Φθινόπωρο
Αστυνομικό,"Κόλλινς, Γουίλκι",Η Φεγγαρόπετρα,2015,Φθινόπωρο
Μυθιστόρημα,"Zweig, Stefan",Επικίνδυνος Οίκτος,2015,Φθινόπωρο
Μυθιστόρημα,"Jonasson, Jonas",Ο Εκατοντάχρονος που πήδηξε από το παράθυρο και Εξαφανίστηκε,2016,Χειμώνας
Ιστορικό,"Καλύβας, Στάθης",Καταστροφές και Θρίαμβοι,2016,Χειμώνας
Ιστορικό,"Ανδρουλάκης, Μίμης",Ταξίδι Μέλιτος,2016,Χειμώνας
Αστυνομικό,"Rabb, Jonathan",Ρόζα,2016,Χειμώνας
Διηγήματα,"Κορτασάρ, Χούλιο",Όλες οι Φωτιές. Η Φωτιά,2016,Χειμώνας
Μυθιστόρημα,"Fallada, Hans",Ο Πότης,2016,Άνοιξη
Μυθιστόρημα,"Βόνγκατ, Κερτ",Το Σφαγείο Νο. 5,2016,Άνοιξη
Αστυνομικό,"Παπαδημητρίου, Χίλντα",Έχουν όλοι κακούς σκοπούς,2016,Άνοιξη
Μυθιστόρημα,"Svevo, Italo",Η Συνείδηση του Ζήνωνα,2016,Άνοιξη
